Student_ID,Gender,City,Study_Hours,Attendance_Percent,Math_Score,Science_Score,English_Score,Performance_Level,Gender_LabelEncoded,Performance_OrdinalEncoded,City_Ahmedabad,City_Bengaluru,City_Chennai,City_Delhi,City_Hyderabad,City_Jaipur,City_Kolkata,City_Mumbai,City_Pune
35,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Female,Kolkata,5.5,89.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
45,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
49,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,Male,Pune,5.0,84.0,79,88.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
74,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
77,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
83,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
84,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
89,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Female,Bengaluru,6.5,92.0,88,91.0,87,Excellent,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Male,Mumbai,4.2,78.0,72,70.0,75,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
93,Female,Delhi,7.1,96.0,94,96.0,92,Excellent,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,Male,Pune,5.0,84.0,79,82.0,80,Good,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,Female,Chennai,8.2,98.0,96,95.0,94,Excellent,0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,Male,Hyderabad,3.8,72.0,65,68.0,71,Needs Improvement,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
97,Female,Bengaluru,6.0,89.0,85,88.0,86,Good,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Female,Kolkata,5.5,86.0,81,84.0,83,Good,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
99,Male,Jaipur,4.5,75.0,70,73.0,76,Average,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100,Female,Ahmedabad,7.8,94.0,91,93.0,90,Excellent,0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
